timestamp,platform,ms_played,conn_country,ip_addr_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,track_id,reason_start,reason_end,shuffle,offline,offline_timestamp,incognito_mode,total_minutes_played,local_hour,local_date
2020-10-12 10:30:53+00:00,"iOS 13.6 (iPhone12,8)",96460,US,173.239.198.120,Big Wheels,Kevin Abstract,ARIZONA BABY,7p3XAxYOxflnVHHrotNizM,playbtn,trackdone,False,False,1602498555669,False,1.6076660236000002,10,2020-10-12
2020-10-12 10:33:53+00:00,"iOS 13.6 (iPhone12,8)",179976,US,173.239.198.120,Years Go By,Bryson Tiller,A N N I V E R S A R Y,4SVTus5gJc5cfkFZ8ELK1p,trackdone,trackdone,False,False,1602498652569,False,2.9995988001600002,10,2020-10-12
2020-10-12 10:37:15+00:00,"iOS 13.6 (iPhone12,8)",201538,US,173.239.198.120,Strawberries & Cigarettes,Troye Sivan,Strawberries & Cigarettes,3afkJSKX0EAMsJXTZnDXXJ,trackdone,trackdone,False,False,1602498833108,False,3.3589653230800005,10,2020-10-12
2020-10-12 10:39:27+00:00,"iOS 13.6 (iPhone12,8)",131064,US,173.239.198.120,Mine,Bazzi,COSMIC,7uzmGiiJyRfuViKKK3lVmR,trackdone,trackdone,False,False,1602499035012,False,2.18439912624,10,2020-10-12
2020-10-12 14:20:54+00:00,"iOS 13.6 (iPhone12,8)",132215,KR,115.95.176.181,Tick Tock,Joji,Nectar,2Imn5iTu2xD3gXCqpBqubu,trackdone,trackdone,False,False,1602499166613,False,2.2035824519,14,2020-10-12
2020-10-12 14:24:17+00:00,"iOS 13.6 (iPhone12,8)",202546,KR,115.95.176.181,Young Dumb & Broke,Khalid,American Teen,5Z3GHaZ6ec9bsiI5BenrbY,trackdone,trackdone,False,False,1602512454167,False,3.3757653163600003,14,2020-10-12
2020-10-12 14:24:31+00:00,"iOS 13.6 (iPhone12,8)",12580,KR,115.95.176.181,Cocoa Butter Kisses,Chance the Rapper,Acid Rap,0aMHIW1lqrulVCx0LLlr6a,trackdone,fwdbtn,False,False,1602512657200,False,0.20966658280000003,14,2020-10-12
2020-10-12 14:24:39+00:00,"iOS 13.6 (iPhone12,8)",7700,KR,115.95.176.181,Cool with You,Her's,Songs of Her's,5wv2XK6ms7KBBVDD1cOwlx,fwdbtn,fwdbtn,False,False,1602512671393,False,0.12833328200000002,14,2020-10-12
2020-10-12 14:49:05+00:00,"iOS 13.6 (iPhone12,8)",206080,KR,115.95.176.181,L$D,A$AP Rocky,AT.LONG.LAST.A$AP,4S7YHmlWwfwArgd8LfSPud,fwdbtn,unexpected-exit-while-paused,False,False,1602512679104,False,3.4346652928,14,2020-10-12
2020-10-12 14:49:10+00:00,"iOS 13.6 (iPhone12,8)",2960,KR,115.95.176.181,L$D,A$AP Rocky,AT.LONG.LAST.A$AP,4S7YHmlWwfwArgd8LfSPud,appload,fwdbtn,False,False,1602514145084,False,0.049333313600000005,14,2020-10-12
2020-10-12 14:53:07+00:00,"iOS 13.6 (iPhone12,8)",237520,KR,115.95.176.181,In Your Eyes,The Weeknd,After Hours,7szuecWAPwGoV1e5vGu8tl,fwdbtn,trackdone,False,False,1602514149804,False,3.9586650832000005,14,2020-10-12
2020-10-12 14:53:27+00:00,"iOS 13.6 (iPhone12,8)",18810,KR,115.95.176.181,Toosie Slide,Drake,Dark Lane Demo Tapes,466cKvZn1j45IpxDdYZqdA,trackdone,fwdbtn,False,False,1602514386605,False,0.3134998746,14,2020-10-12
2020-10-12 14:59:45+00:00,"iOS 13.6 (iPhone12,8)",236703,KR,115.95.176.181,Fuck The World (Summer in London),Brent Faiyaz,Fuck The World,2CzUlaKN1mvb0szagSR3ux,fwdbtn,trackdone,False,False,1602514406899,False,3.94504842198,14,2020-10-12
2020-10-12 15:01:26+00:00,"iOS 13.6 (iPhone12,8)",100562,KR,115.95.176.181,Only If,Steve Lacy,Apollo XXI,0AzacpqYhvdOSbFvJ6eCKr,trackdone,trackdone,False,False,1602514784915,False,1.6760326629200002,15,2020-10-12
2020-10-12 15:04:40+00:00,"iOS 13.6 (iPhone12,8)",193013,KR,115.95.176.181,Too Fast,Yeek,Too Fast,0gqG3JmjuP4Pk8rIMwRCUJ,trackdone,fwdbtn,False,False,1602514885968,False,3.2168820465800003,15,2020-10-12
2020-10-12 15:08:52+00:00,"iOS 13.6 (iPhone12,8)",252026,KR,115.95.176.181,Sober,Childish Gambino,Kauai,5NhlpQ6BOIz3S5welptk1W,fwdbtn,trackdone,False,False,1602515080444,False,4.200431653160001,15,2020-10-12
2020-10-12 15:12:37+00:00,"iOS 13.6 (iPhone12,8)",210795,KR,115.95.176.181,Over Now (with The Weeknd),Calvin Harris,Over Now (with The Weeknd),58AGoOGbwsQMhBbH0eFLRR,trackdone,trackdone,False,False,1602515331505,False,3.5132485947000003,15,2020-10-12
2020-10-12 15:16:11+00:00,"iOS 13.6 (iPhone12,8)",133228,KR,115.95.176.181,Potato Salad,"Tyler, The Creator",Potato Salad,1jzIJcHCXneHw7ojC6LXiF,trackdone,endplay,False,False,1602515557372,False,2.2204657784800004,15,2020-10-12
2020-10-12 15:16:12+00:00,"iOS 13.6 (iPhone12,8)",270,KR,115.95.176.181,Love Galore (feat. Travis Scott),SZA,Ctrl,0q75NwOoFiARAVp4EXU4Bs,playbtn,endplay,False,False,1602515771064,False,0.004499998200000001,15,2020-10-12
2020-10-12 15:16:27+00:00,"iOS 13.6 (iPhone12,8)",15060,KR,115.95.176.181,Love Galore (feat. Travis Scott),SZA,Ctrl,0q75NwOoFiARAVp4EXU4Bs,playbtn,endplay,False,False,1602515771802,False,0.2509998996,15,2020-10-12
2020-10-12 15:21:59+00:00,"iOS 13.6 (iPhone12,8)",231400,KR,115.95.176.181,Drew Barrymore,SZA,Ctrl,06u5LrUpbosQlQ1QJFhPpG,playbtn,trackdone,True,False,1602515787303,False,3.8566651240000005,15,2020-10-12
2020-10-12 15:25:51+00:00,"iOS 13.6 (iPhone12,8)",231253,KR,223.38.18.86,Broken Clocks,SZA,Ctrl,2fXwCWkh6YG5zU1IyvQrbs,trackdone,trackdone,True,False,1602516119152,False,3.8542151249800005,15,2020-10-12
2020-10-12 22:06:41+00:00,"iOS 13.6 (iPhone12,8)",198160,KR,223.38.18.86,20 Something,SZA,Ctrl,4h6ViRoztTBpWcJ1zFT9Zg,trackdone,trackdone,True,False,1602516350836,False,3.3026653456000004,22,2020-10-12
2020-10-12 22:11:16+00:00,"iOS 13.6 (iPhone12,8)",275080,KR,223.38.18.86,Love Galore (feat. Travis Scott),SZA,Ctrl,0q75NwOoFiARAVp4EXU4Bs,trackdone,trackdone,True,False,1602540400647,False,4.584664832800001,22,2020-10-12
2020-10-12 22:15:49+00:00,"iOS 13.6 (iPhone12,8)",272186,KR,223.38.18.86,The Weekend,SZA,Ctrl,6gU9OKjOE7ghfEd55oRO57,trackdone,trackdone,True,False,1602540676248,False,4.536431518760001,22,2020-10-12
2020-10-12 22:18:19+00:00,"iOS 13.6 (iPhone12,8)",149320,KR,223.38.18.86,Anything,SZA,Ctrl,0336UwEBwBBao8uWCuugYr,trackdone,trackdone,True,False,1602540948916,False,2.4886656712,22,2020-10-12
2020-10-12 22:21:36+00:00,"iOS 13.6 (iPhone12,8)",196133,KR,223.38.18.86,Prom,SZA,Ctrl,5yvhdo8FXbBsIllxv2Rr94,trackdone,trackdone,True,False,1602541098732,False,3.2688820257800004,22,2020-10-12
2020-10-12 22:25:42+00:00,"iOS 13.6 (iPhone12,8)",245946,KR,223.38.18.86,Pretty Little Birds (feat. Isaiah Rashad),SZA,Ctrl,1IgePMOW0qEe1AViWgkal9,trackdone,trackdone,True,False,1602541295409,False,4.09909836036,22,2020-10-12
2020-10-12 22:29:56+00:00,"iOS 13.6 (iPhone12,8)",253586,KR,223.38.18.86,Normal Girl,SZA,Ctrl,5fQBa4wkmq28xpSLOQ202K,trackdone,trackdone,True,False,1602541541800,False,4.226431642760001,22,2020-10-12
2020-10-12 22:31:12+00:00,"iOS 13.6 (iPhone12,8)",75800,KR,223.38.18.86,Wavy (Interlude) (feat. James Fauntleroy),SZA,Ctrl,3LcoHjgdNl4xtWVaJGSA1p,trackdone,trackdone,True,False,1602541795899,False,1.263332828,22,2020-10-12
2020-10-12 22:34:41+00:00,"iOS 13.6 (iPhone12,8)",208400,KR,223.38.18.86,Garden (Say It Like Dat),SZA,Ctrl,19woxaSpjOefa2JnAOoqW5,trackdone,trackdone,True,False,1602541872193,False,3.4733319440000003,22,2020-10-12
2020-10-12 22:37:43+00:00,"iOS 13.6 (iPhone12,8)",181120,KR,223.38.18.86,Supermodel,SZA,Ctrl,5wTVNpi5WDByxBgKgUE6MU,trackdone,trackdone,True,False,1602542081086,False,3.0186654592,22,2020-10-12
2020-10-12 22:40:25+00:00,"iOS 13.6 (iPhone12,8)",161613,KR,223.38.18.86,Go Gina,SZA,Ctrl,6Vmow8PuUaU7W1T2WWLZk2,trackdone,trackdone,True,False,1602542262701,False,2.6935489225800002,22,2020-10-12
2020-10-12 22:44:52+00:00,"iOS 13.6 (iPhone12,8)",266080,KR,223.38.18.86,Doves In The Wind (feat. Kendrick Lamar),SZA,Ctrl,593W4qZOwwdqF6YnimJjL6,trackdone,trackdone,True,False,1602542424812,False,4.434664892800001,22,2020-10-12
2020-10-12 22:48:14+00:00,"iOS 13.6 (iPhone12,8)",202007,KR,223.38.18.86,Hit Different,SZA,Hit Different,7Bar1kLTmsRmH6FCKKMEyU,playbtn,trackdone,False,False,1602542691884,False,3.3667819866200004,22,2020-10-12
2020-10-12 22:52:53+00:00,"iOS 13.6 (iPhone12,8)",278179,KR,222.110.9.95,Get You (feat. Kali Uchis),Daniel Caesar,Freudian,7zFXmv6vqI4qOt4yGf3jYZ,trackdone,trackdone,False,False,1602542893722,False,4.63631481214,22,2020-10-12
2020-10-12 22:56:27+00:00,"iOS 13.6 (iPhone12,8)",213993,KR,222.110.9.95,Trip,Ella Mai,Ella Mai,6CTWathupIiDs7U4InHnDA,trackdone,trackdone,False,False,1602543172413,False,3.5665485733800004,22,2020-10-12
2020-10-13 00:55:29+00:00,"iOS 13.6 (iPhone12,8)",137599,KR,222.110.9.95,Pink + White,Frank Ocean,Blonde,3xKsf9qdS1CyvXSMEid6g8,trackdone,fwdbtn,False,False,1602543386901,False,2.29331574934,0,2020-10-13
2020-10-13 00:59:35+00:00,"iOS 13.6 (iPhone12,8)",247079,KR,222.110.9.95,Dead Man Walking,Brent Faiyaz,Dead Man Walking,5VlTQnZO89Ioku8ssdbqJk,fwdbtn,trackdone,False,False,1602550528632,False,4.11798168614,0,2020-10-13
2020-10-13 01:03:30+00:00,"iOS 13.6 (iPhone12,8)",234284,KR,222.110.9.95,Babylon (feat. Kendrick Lamar),SZA,Z,6Aj2H0Z0v0JgnSfPEwCgW0,trackdone,trackdone,False,False,1602550774820,False,3.9047317714400003,1,2020-10-13
2020-10-13 01:06:33+00:00,"iOS 13.6 (iPhone12,8)",183219,KR,222.110.9.95,BELIEVE IT,PARTYNEXTDOOR,PARTYMOBILE,4HDCLYli2SUdkq9OjmvhSD,trackdone,trackdone,False,False,1602551009418,False,3.0536487785400004,1,2020-10-13
2020-10-13 01:08:49+00:00,"iOS 13.6 (iPhone12,8)",134853,KR,222.110.9.95,F&MU,Kehlani,It Was Good Until It Wasn't,24QjawKdGJmsAIVe3EhzGH,trackdone,trackdone,False,False,1602551193152,False,2.24754910098,1,2020-10-13
2020-10-13 01:12:22+00:00,"iOS 13.6 (iPhone12,8)",212866,KR,222.110.9.95,B.S. (feat. H.E.R.),Jhené Aiko,Chilombo,63wx9vdskaXbYxyDx4oJCZ,trackdone,trackdone,False,False,1602551328488,False,3.54776524756,1,2020-10-13
2020-10-13 01:14:32+00:00,"iOS 13.6 (iPhone12,8)",129697,KR,222.110.9.95,C U Girl,Steve Lacy,C U Girl,6FBzhcfgGacfXF3AmtfEaX,trackdone,trackdone,False,False,1602551541857,False,2.16161580202,1,2020-10-13
2020-10-13 03:05:18+00:00,"iOS 13.6 (iPhone12,8)",196520,KR,222.110.9.95,Wait a Minute!,WILLOW,ARDIPITHECUS,0y60itmpH0aPKsFiGxmtnh,trackdone,trackdone,False,False,1602551672103,False,3.2753320232000003,3,2020-10-13
2020-10-13 03:08:10+00:00,"iOS 13.6 (iPhone12,8)",171805,KR,222.110.9.95,The Weekend - Funk Wav Remix,SZA,The Weekend,0P6AWOA4LG1XOctzaVu5tt,trackdone,trackdone,False,False,1602558317443,False,2.8634155213000003,3,2020-10-13
2020-10-13 03:13:44+00:00,"iOS 13.6 (iPhone12,8)",260776,KR,222.110.9.95,Like I Want You,Giveon,TAKE TIME,6qBFSepqLCuh5tehehc1bd,trackdone,trackdone,False,False,1602558489879,False,4.34626492816,3,2020-10-13
2020-10-13 03:17:15+00:00,"iOS 13.6 (iPhone12,8)",209831,KR,222.110.9.95,Best Part (feat. H.E.R.),Daniel Caesar,Freudian,1RMJOxR6GRPsBHL8qeC2ux,trackdone,trackdone,False,False,1602558824154,False,3.4971819344600004,3,2020-10-13
2020-10-13 03:22:22+00:00,"iOS 13.6 (iPhone12,8)",307151,KR,222.110.9.95,Nights,Frank Ocean,Blonde,7eqoqGkKwgOaWNNHx90uEZ,trackdone,trackdone,False,False,1602559034478,False,5.119181285660001,3,2020-10-13
2020-10-13 03:26:15+00:00,"iOS 13.6 (iPhone12,8)",115233,KR,222.110.9.95,Be Honest (feat. Burna Boy),Jorja Smith,Be Honest (feat. Burna Boy),5pAbCxt9e3f81lOmjIXwzd,trackdone,fwdbtn,False,False,1602559342170,False,1.9205492317800001,3,2020-10-13
2020-10-13 03:26:16+00:00,"iOS 13.6 (iPhone12,8)",2360,KR,222.110.9.95,The Other Side (from Trolls World Tour),SZA,The Other Side (from Trolls World Tour),463PQggkmk5tTw8ug0ahOX,fwdbtn,fwdbtn,False,False,1602559572785,False,0.0393333176,3,2020-10-13
2020-10-13 03:26:22+00:00,"iOS 13.6 (iPhone12,8)",6660,KR,222.110.9.95,Girls Need Love (with Drake) - Remix,Summer Walker,Last Day Of Summer,14SaZBTjxlorHJQxXh01Hu,fwdbtn,endplay,False,False,1602559575452,False,0.1109999556,3,2020-10-13
2020-10-13 03:26:27+00:00,"iOS 13.6 (iPhone12,8)",4820,KR,222.110.9.95,Wavy (Interlude) (feat. James Fauntleroy),SZA,Ctrl,3LcoHjgdNl4xtWVaJGSA1p,playbtn,fwdbtn,True,False,1602559582326,False,0.08033330120000001,3,2020-10-13
2020-10-13 03:26:29+00:00,"iOS 13.6 (iPhone12,8)",1450,KR,222.110.9.95,Drew Barrymore,SZA,Ctrl,06u5LrUpbosQlQ1QJFhPpG,fwdbtn,fwdbtn,True,False,1602559587222,False,0.024166657,3,2020-10-13
2020-10-13 03:34:08+00:00,"iOS 13.6 (iPhone12,8)",266080,KR,222.110.9.95,Doves In The Wind (feat. Kendrick Lamar),SZA,Ctrl,593W4qZOwwdqF6YnimJjL6,fwdbtn,trackdone,True,False,1602559588828,False,4.434664892800001,3,2020-10-13
2020-10-13 03:55:34+00:00,"iOS 13.6 (iPhone12,8)",208400,KR,222.110.9.95,Garden (Say It Like Dat),SZA,Ctrl,19woxaSpjOefa2JnAOoqW5,trackdone,trackdone,True,False,1602560047901,False,3.4733319440000003,3,2020-10-13
2020-10-13 03:56:04+00:00,"iOS 13.6 (iPhone12,8)",28120,KR,222.110.9.95,Pretty Little Birds (feat. Isaiah Rashad),SZA,Ctrl,1IgePMOW0qEe1AViWgkal9,trackdone,fwdbtn,True,False,1602561333840,False,0.46866647920000004,3,2020-10-13
2020-10-13 03:56:05+00:00,"iOS 13.6 (iPhone12,8)",1220,KR,222.110.9.95,20 Something,SZA,Ctrl,4h6ViRoztTBpWcJ1zFT9Zg,fwdbtn,fwdbtn,True,False,1602561363568,False,0.020333325200000002,3,2020-10-13
2020-10-13 03:59:05+00:00,"iOS 13.6 (iPhone12,8)",181120,KR,222.110.9.95,Supermodel,SZA,Ctrl,5wTVNpi5WDByxBgKgUE6MU,fwdbtn,trackdone,True,False,1602561364799,False,3.0186654592,3,2020-10-13
2020-10-13 04:00:14+00:00,"iOS 13.6 (iPhone12,8)",20000,KR,222.110.9.95,Go Gina,SZA,Ctrl,6Vmow8PuUaU7W1T2WWLZk2,trackdone,endplay,True,False,1602561545369,False,0.33333320000000005,4,2020-10-13
